OBJECTID,ROADPREMOD,ROADPREDIR,ROADNAME,ROADTYPE,ROADPOSTDIR,ROADPOSTMOD,FULLNAME,ALTROADNAME,MSAGNAME,MUNICIPALITY,STATUS,LASTUPDATE,LASTEDITOR,ROADPRETYPE,FULLNAMECASS,CapCASSStName,JoinID
872413,,,A,,,,Avenue A,,,Orleans,Current,2015/02/23 14:37:03+00,CITYOFNO\cmard,Ave,Ave A,AVE A,1
872414,,,B,,,,Avenue B,,,Orleans,Current,2015/02/23 13:49:45+00,CITYOFNO\cmard,Ave,Ave B,AVE B,2
872415,,,Andrée,,,,Rue Andrée,,,Orleans,Current,2015/02/23 14:35:16+00,CITYOFNO\cmard,Rue,Rue Andrée,RUE ANDRÉE,3
872416,,,Colette,,,,Rue Colette,,,Orleans,Current,2015/02/23 13:49:49+00,CITYOFNO\cmard,Rue,Rue Colette,RUE COLETTE,4
872417,,,Delphine,,,,Rue Delphine,,,Orleans,Current,2015/02/23 13:49:50+00,CITYOFNO\cmard,Rue,Rue Delphine,RUE DELPHINE,5
872418,,,Denise,,,,Rue Denise,,,Orleans,Current,2015/02/23 13:49:52+00,CITYOFNO\cmard,Rue,Rue Denise,RUE DENISE,6
872419,,,Le Ville,,,,Rue Le Ville,,,Orleans,Current,2015/02/23 13:49:54+00,CITYOFNO\cmard,Rue,Rue Le Ville,RUE LE VILLE,7
872420,,,Michelle,,,,Rue Michelle,,,Orleans,Current,2015/02/23 13:49:56+00,CITYOFNO\cmard,Rue,Rue Michelle,RUE MICHELLE,8
872421,,,Mignon,,,,Rue Mignon,,,Orleans,Current,2015/02/23 13:49:57+00,CITYOFNO\cmard,Rue,Rue Mignon,RUE MIGNON,9
872422,,,Nadine,,,,Rue Nadine,,,Orleans,Current,2015/02/23 13:49:59+00,CITYOFNO\cmard,Rue,Rue Nadine,RUE NADINE,10
872423,,,Nichole,,,,Rue Nichole,,,Orleans,Current,2015/02/23 13:50:01+00,CITYOFNO\cmard,Rue,Rue Nichole,RUE NICHOLE,11
872424,,,Parc Fontaine,,,,Rue Parc Fontaine,,,Orleans,Current,2015/02/23 13:50:03+00,CITYOFNO\cmard,Rue,Rue Parc Fontaine,RUE PARC FONTAINE,12
872425,Old,,Chef Menteur,Rd,,,Old Chef Menteur Road,,,Orleans,Current,2015/02/23 14:35:36+00,CITYOFNO\cmard,,Old Chef Menteur Rd,OLD CHEF MENTEUR RD,13
872426,Old,,Galvez,St,,,Old Galvez Street,,,Orleans,Current,2015/02/23 13:50:06+00,CITYOFNO\cmard,,Old Galvez St,OLD GALVEZ ST,14
872427,Old,,Gentilly,Rd,,,Old Gentilly Road,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Old Gentilly Rd,OLD GENTILLY RD,15
872428,,,10th,St,,,10th Street,,,Orleans,Current,2015/02/23 14:17:43+00,CITYOFNO\cmard,,10th St,10TH ST,16
872429,,,12th,St,,,12th Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,12th St,12TH ST,17
872430,,,14th,St,,,14th Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,14th St,14TH ST,18
872431,,,16th,St,,,16th Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,16th St,16TH ST,19
872432,,,18th,St,,,18th Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,18th St,18TH ST,20
872433,,,20th,St,,,20th Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,20th St,20TH ST,21
872434,,,22nd,St,,,22nd Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,22nd St,22ND ST,22
872435,,,26th,St,,,26th Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,26th St,26TH ST,23
872436,,,28th,St,,,28th Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,28th St,28TH ST,24
872437,,,30th,St,,,30th Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,30th St,30TH ST,25
872438,,,32nd,St,,,32nd Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,32nd St,32ND ST,26
872439,,,33rd,St,,,33rd Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,33rd St,33RD ST,27
872440,,,34th,St,,,34th Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,34th St,34TH ST,28
872441,,,35th,St,,,35th Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,35th St,35TH ST,29
872442,,,36th,St,,,36th Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,36th St,36TH ST,30
872443,,,37th,St,,,37th Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,37th St,37TH ST,31
872444,,,38th,St,,,38th Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,38th St,38TH ST,32
872445,,,39th,St,,,39th Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,39th St,39TH ST,33
872446,,,40th,St,,,40th Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,40th St,40TH ST,34
872447,,,AP Tureaud,Ave,,,AP Tureaud Avenue,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,AP Tureaud Ave,AP TUREAUD AVE,35
872448,,,Abalon,Ct,,,Abalon Court,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Abalon Ct,ABALON CT,36
872449,,,Abbey,Dr,,,Abbey Drive,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Abbey Dr,ABBEY DR,37
872450,,,Abbington,Dr,,,Abbington Drive,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Abbington Dr,ABBINGTON DR,38
872451,,,Aberdeen,Rd,,,Aberdeen Road,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Aberdeen Rd,ABERDEEN RD,39
872452,,,Abundance,St,,,Abundance Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Abundance St,ABUNDANCE ST,40
872453,,,Acacia,St,,,Acacia Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Acacia St,ACACIA ST,41
872454,,,Academy,Dr,,,Academy Drive,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Academy Dr,ACADEMY DR,42
872455,,,Acadiana,Pl,,,Acadiana Place,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Acadiana Pl,ACADIANA PL,43
872456,,,Across,St,,,Across Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Across St,ACROSS ST,44
872457,,,Ada,Pl,,,Ada Place,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Ada Pl,ADA PL,45
